X;Retailer;EAN_UPC;Product_name;Date;Text;Rating;Brand;GPT_estimated_cleaned;
49357;Amazon_DE;8,71133E+12;Knorr Taste the World potato snack fried onions & croutons delicious potato dish ready in just 5 minutes 48 g 1 serving;19/02/2022;products that are (unfortunately) difficult to find abroad absolutely satisfied with the delivery itself and the taste.;5;Knorr;Snacks & Ready Meals;
49358;Amazon_DE;8,71133E+12;Knorr Taste the World potato snack fried onions & croutons delicious potato dish ready in just 5 minutes 48 g 1 serving;21/03/2021;as in my title, I personally have it at all Didn't taste good, I remember currywurst differently, unfortunately not suitable for me, but Knorr also has something I like.;3;Knorr;Snacks & Ready Meals;
49359;Amazon_DE;8,71133E+12;Knorr Taste the World potato snack fried onions & croutons delicious potato dish ready in just 5 minutes 48 g 1 serving;23/06/2021;gladly again;5;Knorr; “Snacks & Ready Meals”;
49360;Amazon_DE;8,71133E+12;Knorr Taste the World potato snack fried onions & croutons delicious potato dish ready in just 5 minutes 48 g 1 serving;20/10/2020;the knorr fix seasoning base (for pasta: oven- macaroni alla mamma) can be prepared quickly and safely according to the instructions on the package. In total it takes about 45 minutes. The taste is similar to other Knorr Fix seasoning mixtures. We liked it and it will definitely be on the table every now and then.;5; Knorr;Snacks & Ready Meals;
49361;Amazon_DE;8,71133E+12;Knorr Taste the World potato snack fried onions & croutons delicious potato dish ready in just 5 minutes 48 g 1 serving;31/10/2020;this dish is made very quickly. simply dry noodles In a mold that fry the minced meat or vegan mince in the meantime and prepare it with liquid and the mixture. Then fill everything over the noodles and add some cheese on top. That's it. Put the mold in the oven and the oven macaroni is ready. I I find them very tasty. A great dish when you're in a hurry.;5;Knorr;Snacks & Ready Meals;
49362;Amazon_DE;8,71133E+12;Knorr Taste the World potato snack fried onions & croutons delicious potato dish ready in just 5 minutes 48 g 1 serving;26/03/2021;really not for me... tastes very bad ;1;Knorr;Snacks & Ready Meals;
49363;Amazon_DE;8,71133E+12;Knorr Taste the World potato snack fried onions & croutons delicious potato dish ready in just 5 minutes 48 g 1 serving;17/03/2022;what can you say about a fix: there is Sometimes there are days when things have to be done quickly, or days when you lack the creativity (or perhaps the will). On these days I also like to use this fix and am very happy with it. Of course, I also season, fry and Deglaze with stock or wine, but good as a supplement.;5;Knorr;Snacks & Ready Meals;
49364;Amazon_DE;8,71133E+12;Knorr Taste the World potato snack fried onions & croutons delicious potato dish ready in just 5 minutes 48 g 1 serving;11/06/2021;quite ok;3;Knorr; “Snacks & Ready Meals”;
49365;Amazon_DE;8,71133E+12;Knorr Taste the World potato snack fried onions & croutons delicious potato dish ready in just 5 minutes 48 g 1 serving;02/12/2020;finally prepare currywurst yourself 😆 tastes good and had it I hadn't found it in stores before... maybe because they were always sold out or I overlooked them 🤷‍♀️;5;Knorr;Snacks & Ready Meals;
49366;Amazon_DE;8,71133E+12;Knorr Taste the World potato snack fried onions & croutons delicious potato dish ready in just 5 minutes 48 g 1 serving;11/12/2020;the seasoning base for oven macaroni stands for quick and Easy to prepare. I can agree with that. A sure-fire dish that is on the table after 45 minutes at the latest and feeds at least 2 people. Great cooking skills are not required. We were only moderately impressed with the taste of the finished dish. We prepared it according to the instructions on the package . the ratio of meat to noodles is not right for us personally. We would have preferred significantly more noodles and less meat. Of course you can vary it, but if you increase the proportion of noodles, there is a risk that they will not become soft because they contain liquid missing. Because they are cooked in the oven when raw, using only the oven macaroni sauce. The sauce lacks spice, it tasted bland and tasteless. But you can adjust that by adding your own seasoning. In the end we enjoyed it. Personally, I will not use this Knorr Fix product again. I can manage this meal freshly cooked without the help of a seasoning base and it certainly doesn't take me any longer. But I can't say that the seasoning base for oven macaroni was a complete failure. That's why I rate the product with 3 neutral stars and give a conditional purchase recommendation.;3;Knorr;Snacks & Ready Meals;
